inquantity,inquantitynor,InpH,inphnor,InCOD,incodnor,inbod,inbod5nor,InAmmoniaN,inammonianor,InSS,InSSNor,InPhosphate,InPhosphateNor
343.2,0.58,7.46,0.5,235,0.57,91.7,0.61,23.8,0.44,140,0.71,3.67,0.75
379.56,0.47,7.58,0.33,226,0.6,61.1,0.89,21.1,0.57,102,0.83,3.04,0.84
312.8,0.67,7.5,0.44,172,0.78,62.5,0.88,19.4,0.65,138,0.72,3.38,0.8
310.18,0.68,7.61,0.29,296,0.37,117,0.38,22.4,0.51,138,0.72,5.76,0.46
323.87,0.64,7.47,0.49,262,0.48,87.9,0.65,28,0.24,148,0.69,3.92,0.72
369.61,0.5,7.62,0.28,306,0.34,79.1,0.73,22.1,0.52,162,0.65,5.27,0.53
404.51,0.4,7.55,0.38,215,0.63,81.5,0.71,22.9,0.49,106,0.82,3.48,0.78
372.17,0.49,7.64,0.25,217,0.63,70.5,0.81,21.6,0.55,110,0.8,3.18,0.82
324.11,0.64,7.45,0.51,222,0.61,106,0.48,24.9,0.39,172,0.62,3.68,0.75
384.8,0.45,7.49,0.46,235,0.57,73.7,0.78,21.7,0.54,198,0.54,3.94,0.72
339.86,0.59,7.54,0.39,284,0.41,111,0.44,26.2,0.33,142,0.71,5.32,0.52
415.16,0.36,7.48,0.47,157,0.83,72.4,0.79,21.1,0.57,126,0.76,2.8,0.88
356.3,0.54,7.62,0.28,310,0.32,121,0.35,24.9,0.39,114,0.79,4.8,0.59
370.76,0.5,7.54,0.39,219,0.62,72.5,0.79,22,0.53,164,0.64,2.8,0.88
335.73,0.6,7.5,0.44,282,0.41,92.7,0.61,24.9,0.39,162,0.65,4.46,0.64
320.9,0.65,7.38,0.61,229,0.59,84.5,0.68,23,0.48,128,0.75,2.89,0.87
334.51,0.61,7.5,0.44,246,0.53,88.7,0.64,26.5,0.31,138,0.72,3.62,0.76
349.03,0.56,7.42,0.56,211,0.65,80.5,0.72,24.3,0.42,140,0.71,3.24,0.82
347.62,0.57,7.49,0.46,249,0.52,89.7,0.63,23.9,0.44,152,0.68,3.8,0.74
395.09,0.42,7.56,0.36,189,0.72,67.7,0.83,18.3,0.7,126,0.76,2.65,0.9
332.89,0.61,7.55,0.38,320,0.29,87.7,0.65,23.2,0.47,160,0.65,5.39,0.51
339.32,0.59,7.5,0.44,281,0.42,90.9,0.62,23.4,0.46,160,0.65,5.2,0.54
342.28,0.58,7.52,0.42,277,0.43,90.1,0.63,25.2,0.38,162,0.65,4.34,0.66
352.94,0.55,7.39,0.6,200,0.68,75.7,0.76,24.9,0.39,126,0.76,3,0.85
350.14,0.56,7.57,0.35,304,0.34,118,0.37,26.7,0.3,210,0.5,5.43,0.51
359.26,0.53,7.63,0.26,201,0.68,93.3,0.6,22.9,0.49,190,0.56,3.89,0.72
331.3,0.62,7.59,0.32,277,0.43,76.1,0.76,27.2,0.28,138,0.72,3.85,0.73
375.22,0.48,7.77,0.07,206,0.66,64.9,0.86,21.1,0.57,102,0.83,3.05,0.84
347.82,0.57,7.53,0.4,306,0.34,79.1,0.73,24.2,0.42,112,0.8,4.84,0.59
347.6,0.57,7.17,0.9,265,0.47,89.5,0.63,24.1,0.43,124,0.76,3.74,0.75
346.07,0.57,7.64,0.25,104,1,126,0.3,21.8,0.54,46,1,5.82,0.45
